id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
17,2008,Pune,2008-04-09,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,no result,0,,0,0,MS Dhoni,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
18,2008,Chennai,2008-04-18,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,normal,0,Kolkata Knight Riders,0,4,SR Watson,MA Chidambaram Stadium,Umpire A,Umpire B
19,2008,Bangalore,2008-04-02,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,normal,0,Sunrisers Hyderabad,31,0,S Dhawan,M Chinnaswamy Stadium,Umpire A,Umpire B
20,2008,Delhi,2008-04-11,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,no result,0,,0,0,KL Rahul,Arun Jaitley Stadium,Umpire A,Umpire B
21,2008,Pune,2008-04-06,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Delhi Capitals,50,0,HH Pandya,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
22,2008,Hyderabad,2008-04-17,Punjab Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,PP Shaw,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
23,2008,Chennai,2008-04-24,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Punjab Kings,7,0,DA Warner,MA Chidambaram Stadium,Umpire A,Umpire B
24,2008,Kolkata,2008-04-21,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,no result,0,,0,0,PP Shaw,Eden Gardens,Umpire A,Umpire B
25,2008,Pune,2008-04-19,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,22,0,HH Pandya,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
26,2008,Hyderabad,2008-04-12,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,normal,0,Gujarat Titans,10,0,S Dhawan,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
27,2008,Delhi,2008-04-11,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,22,0,S Dhawan,Arun Jaitley Stadium,Umpire A,Umpire B
28,2008,Mumbai,2008-04-16,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Delhi Capitals,0,3,KA Pollard,Wankhede Stadium,Umpire A,Umpire B
29,2008,Pune,2008-04-11,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,field,normal,0,Lucknow Super Giants,0,3,CH Gayle,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
30,2008,Kolkata,2008-04-27,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,34,0,V Kohli,Eden Gardens,Umpire A,Umpire B
31,2008,Mumbai,2008-04-23,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,normal,0,Delhi Capitals,0,6,V Kohli,Wankhede Stadium,Umpire A,Umpire B
32,2008,Jaipur,2008-04-07,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,bat,no result,0,,0,0,RG Sharma,Sawai Mansingh Stadium,Umpire A,Umpire B
33,2008,Bangalore,2008-04-29,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,MS Dhoni,M Chinnaswamy Stadium,Umpire A,Umpire B
34,2008,Bangalore,2008-04-15,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,normal,0,Rajasthan Royals,70,0,G Gambhir,M Chinnaswamy Stadium,Umpire A,Umpire B
35,2008,Chennai,2008-04-13,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,bat,normal,0,Lucknow Super Giants,76,0,DA Warner,MA Chidambaram Stadium,Umpire A,Umpire B
36,2008,Kolkata,2008-04-28,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,2,0,PP Shaw,Eden Gardens,Umpire A,Umpire B
37,2008,Kolkata,2008-04-26,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,no result,0,,0,0,KA Pollard,Eden Gardens,Umpire A,Umpire B
38,2008,Pune,2008-04-06,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,1,DA Warner,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
39,2008,Bangalore,2008-04-24,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,bat,normal,0,Lucknow Super Giants,64,0,Q de Kock,M Chinnaswamy Stadium,Umpire A,Umpire B
40,2008,Mohali,2008-04-20,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,normal,0,Punjab Kings,37,0,PP Shaw,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
41,2008,Pune,2008-04-27,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,no result,0,,0,0,IS Sodhi,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
42,2008,Pune,2008-04-27,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,54,0,DA Warner,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
43,2008,Bangalore,2008-04-11,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,2,PP Shaw,M Chinnaswamy Stadium,Umpire A,Umpire B
44,2008,Jaipur,2008-04-03,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,bat,normal,0,Chennai Super Kings,33,0,DA Warner,Sawai Mansingh Stadium,Umpire A,Umpire B
45,2008,Kolkata,2008-04-07,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,normal,0,Royal Challengers Bangalore,41,0,CH Gayle,Eden Gardens,Umpire A,Umpire B
46,2008,Pune,2008-04-01,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,33,0,JM Bairstow,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
47,2008,Chennai,2008-04-26,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,AB de Villiers,MA Chidambaram Stadium,Umpire A,Umpire B
48,2008,Chennai,2008-04-25,Rajasthan Royals,Gujarat Titans,Gujarat Titans,bat,normal,0,Gujarat Titans,34,0,CH Gayle,MA Chidambaram Stadium,Umpire A,Umpire B
49,2008,Ahmedabad,2008-04-07,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,6,0,KS Williamson,Narendra Modi Stadium,Umpire A,Umpire B
50,2008,Delhi,2008-04-26,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,SK Raina,Arun Jaitley Stadium,Umpire A,Umpire B
51,2008,Bangalore,2008-04-24,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,normal,0,Punjab Kings,41,0,SK Raina,M Chinnaswamy Stadium,Umpire A,Umpire B
52,2008,Hyderabad,2008-04-01,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,normal,0,Mumbai Indians,0,6,CH Gayle,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
53,2008,Mohali,2008-04-17,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,no result,0,,0,0,RR Pant,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
54,2008,Jaipur,2008-04-15,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Delhi Capitals,0,2,RR Pant,Sawai Mansingh Stadium,Umpire A,Umpire B
55,2008,Pune,2008-04-03,Punjab Kings,Gujarat Titans,Gujarat Titans,bat,normal,0,Gujarat Titans,69,0,AB de Villiers,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
56,2008,Jaipur,2008-04-16,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,normal,0,Lucknow Super Giants,0,9,PP Shaw,Sawai Mansingh Stadium,Umpire A,Umpire B
57,2008,Pune,2008-04-05,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,0,Sunrisers Hyderabad,14,0,KL Rahul,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
58,2009,Mumbai,2009-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,RR Pant,Wankhede Stadium,Umpire A,Umpire B
59,2009,Chennai,2009-04-02,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,11,0,RG Sharma,MA Chidambaram Stadium,Umpire A,Umpire B
60,2009,Jaipur,2009-04-21,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,PP Shaw,Sawai Mansingh Stadium,Umpire A,Umpire B
61,2009,Mohali,2009-04-17,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,7,S Dhawan,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
62,2009,Bangalore,2009-04-29,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,40,0,S Dhawan,M Chinnaswamy Stadium,Umpire A,Umpire B
63,2009,Kolkata,2009-04-04,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,normal,0,Gujarat Titans,32,0,RR Pant,Eden Gardens,Umpire A,Umpire B
64,2009,Pune,2009-04-13,Rajasthan Royals,Punjab Kings,Punjab Kings,field,normal,0,Rajasthan Royals,0,7,V Kohli,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
65,2009,Mohali,2009-04-22,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,0,4,KA Pollard,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
66,2009,Kolkata,2009-04-10,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,0,Punjab Kings,24,0,RG Sharma,Eden Gardens,Umpire A,Umpire B
67,2009,Ahmedabad,2009-04-27,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,2,AM Rahane,Narendra Modi Stadium,Umpire A,Umpire B
68,2009,Bangalore,2009-04-03,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,0,Royal Challengers Bangalore,35,0,IS Sodhi,M Chinnaswamy Stadium,Umpire A,Umpire B
69,2009,Mohali,2009-04-08,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,no result,0,,0,0,RR Pant,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
70,2009,Hyderabad,2009-04-10,Chennai Super Kings,Punjab Kings,Punjab Kings,field,normal,0,Chennai Super Kings,0,4,JM Bairstow,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
71,2009,Pune,2009-04-01,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Delhi Capitals,47,0,JM Bairstow,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
72,2009,Pune,2009-04-28,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,normal,0,Lucknow Super Giants,10,0,IS Sodhi,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
73,2009,Pune,2009-04-11,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,3,AB de Villiers,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
74,2009,Pune,2009-04-21,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,48,0,G Gambhir,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
75,2009,Pune,2009-04-21,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,bat,normal,0,Lucknow Super Giants,24,0,Q de Kock,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
76,2009,Mohali,2009-04-14,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,2,SR Watson,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
77,2009,Chennai,2009-04-12,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,normal,0,Rajasthan Royals,0,7,MS Dhoni,MA Chidambaram Stadium,Umpire A,Umpire B
78,2009,Bangalore,2009-04-12,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,field,normal,0,Lucknow Super Giants,0,8,V Kohli,M Chinnaswamy Stadium,Umpire A,Umpire B
79,2009,Hyderabad,2009-04-09,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,normal,0,Delhi Capitals,0,4,V Kohli,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
80,2009,Ahmedabad,2009-04-12,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,normal,0,Delhi Capitals,0,2,KL Rahul,Narendra Modi Stadium,Umpire A,Umpire B
81,2009,Delhi,2009-04-22,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,57,0,KA Pollard,Arun Jaitley Stadium,Umpire A,Umpire B
82,2009,Jaipur,2009-04-07,Punjab Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,8,KS Williamson,Sawai Mansingh Stadium,Umpire A,Umpire B
83,2009,Ahmedabad,2009-04-24,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,Q de Kock,Narendra Modi Stadium,Umpire A,Umpire B
84,2009,Ahmedabad,2009-04-09,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,normal,0,Punjab Kings,73,0,RR Pant,Narendra Modi Stadium,Umpire A,Umpire B
85,2009,Mumbai,2009-04-25,Punjab Kings,Chennai Super Kings,Punjab Kings,field,normal,0,Chennai Super Kings,0,7,AM Rahane,Wankhede Stadium,Umpire A,Umpire B
86,2009,Pune,2009-04-02,Gujarat Titans,Rajasthan Royals,Gujarat Titans,bat,normal,0,Rajasthan Royals,33,0,V Kohli,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
87,2009,Jaipur,2009-04-26,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,normal,0,Punjab Kings,54,0,DA Warner,Sawai Mansingh Stadium,Umpire A,Umpire B
88,2009,Hyderabad,2009-04-06,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,43,0,AM Rahane,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
89,2009,Jaipur,2009-04-27,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Royal Challengers Bangalore,0,8,DA Warner,Sawai Mansingh Stadium,Umpire A,Umpire B
90,2009,Delhi,2009-04-02,Gujarat Titans,Punjab Kings,Gujarat Titans,field,normal,0,Gujarat Titans,0,9,HH Pandya,Arun Jaitley Stadium,Umpire A,Umpire B
91,2009,Ahmedabad,2009-04-23,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,9,KL Rahul,Narendra Modi Stadium,Umpire A,Umpire B
92,2009,Delhi,2009-04-06,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,normal,0,Punjab Kings,16,0,G Gambhir,Arun Jaitley Stadium,Umpire A,Umpire B
93,2009,Ahmedabad,2009-04-13,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,56,0,JM Bairstow,Narendra Modi Stadium,Umpire A,Umpire B
94,2009,Hyderabad,2009-04-26,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Sunrisers Hyderabad,79,0,KL Rahul,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
95,2009,Kolkata,2009-04-20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,33,0,AB de Villiers,Eden Gardens,Umpire A,Umpire B
96,2009,Delhi,2009-04-11,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,57,0,S Dhawan,Arun Jaitley Stadium,Umpire A,Umpire B
97,2009,Delhi,2009-04-15,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,normal,0,Chennai Super Kings,69,0,MS Dhoni,Arun Jaitley Stadium,Umpire A,Umpire B
98,2009,Mumbai,2009-04-12,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,1,SR Watson,Wankhede Stadium,Umpire A,Umpire B
99,2009,Mumbai,2009-04-11,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,normal,0,Gujarat Titans,0,4,S Dhawan,Wankhede Stadium,Umpire A,Umpire B
100,2009,Jaipur,2009-04-21,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,bat,normal,0,Rajasthan Royals,66,0,AB de Villiers,Sawai Mansingh Stadium,Umpire A,Umpire B
101,2009,Delhi,2009-04-24,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,72,0,SK Raina,Arun Jaitley Stadium,Umpire A,Umpire B
102,2009,Pune,2009-04-25,Mumbai Indians,Punjab Kings,Punjab Kings,bat,normal,0,Punjab Kings,49,0,S Dhawan,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
103,2009,Ahmedabad,2009-04-29,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,normal,0,Gujarat Titans,0,1,MS Dhoni,Narendra Modi Stadium,Umpire A,Umpire B
104,2009,Jaipur,2009-04-09,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,field,normal,0,Lucknow Super Giants,0,3,CH Gayle,Sawai Mansingh Stadium,Umpire A,Umpire B
105,2009,Delhi,2009-04-23,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,41,0,JM Bairstow,Arun Jaitley Stadium,Umpire A,Umpire B
106,2009,Ahmedabad,2009-04-09,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,normal,0,Rajasthan Royals,0,4,KA Pollard,Narendra Modi Stadium,Umpire A,Umpire B
107,2009,Hyderabad,2009-04-29,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,JM Bairstow,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
108,2009,Delhi,2009-04-26,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,no result,0,,0,0,Q de Kock,Arun Jaitley Stadium,Umpire A,Umpire B
109,2009,Ahmedabad,2009-04-22,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,2,Q de Kock,Narendra Modi Stadium,Umpire A,Umpire B
110,2009,Mohali,2009-04-11,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,45,0,SR Watson,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
111,2009,Mumbai,2009-04-13,Gujarat Titans,Mumbai Indians,Gujarat Titans,bat,normal,0,Mumbai Indians,20,0,AB de Villiers,Wankhede Stadium,Umpire A,Umpire B
112,2009,Mohali,2009-04-08,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,normal,0,Rajasthan Royals,0,8,IS Sodhi,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
113,2009,Chennai,2009-04-04,Delhi Capitals,Punjab Kings,Punjab Kings,bat,normal,0,Delhi Capitals,7,0,KS Williamson,MA Chidambaram Stadium,Umpire A,Umpire B
114,2009,Pune,2009-04-12,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,PP Shaw,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
115,2009,Mumbai,2009-04-27,Mumbai Indians,Gujarat Titans,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,DA Warner,Wankhede Stadium,Umpire A,Umpire B
116,2009,Pune,2009-04-29,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,normal,0,Gujarat Titans,0,8,PP Shaw,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
117,2009,Ahmedabad,2009-04-22,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,57,0,CH Gayle,Narendra Modi Stadium,Umpire A,Umpire B
118,2009,Kolkata,2009-04-21,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,normal,0,Royal Challengers Bangalore,0,5,DA Warner,Eden Gardens,Umpire A,Umpire B
119,2009,Hyderabad,2009-04-13,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Chennai Super Kings,26,0,KS Williamson,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
120,2009,Mohali,2009-04-07,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,normal,0,Royal Challengers Bangalore,0,8,Q de Kock,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
121,2009,Jaipur,2009-04-13,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,normal,0,Gujarat Titans,5,0,G Gambhir,Sawai Mansingh Stadium,Umpire A,Umpire B
122,2009,Hyderabad,2009-04-12,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,no result,0,,0,0,JM Bairstow,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
123,2009,Kolkata,2009-04-15,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,62,0,SK Raina,Eden Gardens,Umpire A,Umpire B
124,2009,Mohali,2009-04-28,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,no result,0,,0,0,IS Sodhi,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
125,2009,Mumbai,2009-04-12,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,13,0,RG Sharma,Wankhede Stadium,Umpire A,Umpire B
126,2010,Hyderabad,2010-04-06,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Delhi Capitals,21,0,HH Pandya,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
127,2010,Mohali,2010-04-01,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,normal,0,Punjab Kings,48,0,S Dhawan,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
128,2010,Delhi,2010-04-10,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,normal,0,Rajasthan Royals,0,7,AM Rahane,Arun Jaitley Stadium,Umpire A,Umpire B
129,2010,Mohali,2010-04-12,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,AB de Villiers,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
130,2010,Kolkata,2010-04-17,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,normal,0,Delhi Capitals,0,6,KS Williamson,Eden Gardens,Umpire A,Umpire B
131,2010,Mohali,2010-04-14,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,normal,0,Punjab Kings,53,0,JM Bairstow,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
132,2010,Kolkata,2010-04-23,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,AM Rahane,Eden Gardens,Umpire A,Umpire B
133,2010,Bangalore,2010-04-02,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,0,,0,0,RR Pant,M Chinnaswamy Stadium,Umpire A,Umpire B
134,2010,Delhi,2010-04-09,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,bat,no result,0,,0,0,RG Sharma,Arun Jaitley Stadium,Umpire A,Umpire B
